id,titulo
24751,"3.3.1.2.4. Edificios por instalaciones y servicios. Censo de edificios (1980, 1990)"
108129,3.3.2.1.1. Viviendas familiares convencionales según tipo de vivienda (principal o no principal)
29500,3.3.2.2.1. Viviendas familiares principales y no principales
29503,3.3.2.2.2. Viviendas familiares clasificadas por tipo. Municipios mayores de 2000 habitantes
38542,3.3.2.3.1. Viviendas clasificadas por tipo. Censo 2001
38404,3.3.2.3.2. Viviendas según su régimen de tenencia. Censo 2001
38432,3.3.2.3.3. Viviendas según número de habitaciones. Censo 2001
38435,3.3.2.3.4. Viviendas según superficie de la vivienda. Censo 2001
38477,"3.3.2.3.5. Viviendas clasificadas por tipo. Censos 1981,1991"
29505,3.3.3.1. Establecimientos colectivos por tipo. Censo 2011
29507,3.3.3.2. Población en establecimientos colectivos por tipo de establecimiento. Municipios con más de 10.000 habitantes
29511,3.3.3.3. Población en establecimientos colectivos por situación de empadronamiento. Municipios con más de 10.000 habitantes
29510,3.3.3.4. Principales indicadores referentes a establecimientos colectivos. Censo 2011
19607,3.4.1.1. Elecciones Generales: Censo electoral
19608,3.4.1.2. Elecciones Generales: Número de votantes
19609,3.4.1.3. Elecciones Generales: Votos y abstenciones
19610,3.4.1.4. Elecciones Generales: Votos a candidaturas
22611,3.4.2.1. Elecciones al Parlamento de Andalucía: Censo electoral
22612,3.4.2.2. Elecciones al Parlamento de Andalucía: Número de votantes
22636,3.4.2.3. Elecciones al Parlamento de Andalucía: Votos y abstenciones
22639,3.4.2.4. Elecciones al Parlamento de Andalucía: Votos a candidaturas
40790,3.4.3.1. Elecciones Locales en Andalucía: Censo electoral
40845,3.4.3.2. Elecciones Locales en Andalucía: Número de votantes
40853,3.4.3.3. Elecciones Locales en Andalucía: Votos y abstenciones
40870,3.4.3.4. Elecciones Locales en Andalucía: Votos a candidaturas
101732,3.4.4.1. Elecciones Europeas en Andalucía: Censo electoral
101733,3.4.4.2. Elecciones Europeas en Andalucía: Número de votantes
101734,3.4.4.3. Elecciones Europeas en Andalucía: Votos y abstenciones
101735,3.4.4.4. Elecciones Europeas en Andalucía:  Votos a candidaturas
1930,"3.5.1.1.1. Cines, pantallas y aforo en salas de cine"
25668,3.5.1.2.1. Número de bibliotecas públicas
25919,3.5.1.2.2. Visitantes a las bibliotecas públicas
25921,3.5.1.2.3. Personas usuarias inscritas en las bibliotecas públicas por sexo y grupos de edad
26015,3.5.1.2.4. Fondos de las bibliotecas públicas de Andalucía por tipo
26037,3.5.1.2.5. Número de préstamos en las bibliotecas públicas por tipo de préstamo
26040,3.5.1.2.6. Actividades culturales organizadas en la biblioteca por tipo de actividad
26169,3.5.1.2.7. Gasto de las bibliotecas públicas por procedencia y tipo
26331,3.5.1.2.8. Personal de las bibliotecas de Andalucía según puesto
23309,3.5.1.3.1. Instalaciones deportivas por tipo (CNID-2005)
23315,3.5.1.3.2. Instalaciones deportivas. Espacios deportivos por tipo (CNID-2005)
23316,3.5.1.3.3. Instalaciones deportivas. Nº de espacios complementarios (CNID-2005)
23320,3.5.1.3.4. Espacios deportivos convencionales por tipo. (1997)
23321,3.5.1.3.5. Espacios deportivos no convencionales por tipo. (1997)
57565,"3.5.2.1. Bienes inmuebles, muebles e inmateriales"
58270,3.6.1.1. Centros de servicios sociales por sector y tipo de centro
19884,3.7.1. Consumo medio diario de agua
